0.15969492831537802 0.9606441915216087 0.9253402217741935

____________11_____________44411 .............1..............4..1
________________22______________ ................................

________________________________ ................................

____________________________1111 .............................1..

_________________________11_____ ..........................1.....

______________________11________ .......................1........

___________________11_______44__ ....................1.........4.

________________11_______444____ .................1.........4....

_____________11_______444_______ .............1.........4........

_________11________44___________ ..........1.........4...........

______11________44______________ .......1.........4..............

___11________444______________33 ....1.........4.................

11________44____________________ .1.........4....................

______440_______________________ .......40.......................

___400__________________________ ....40..........................

440_____________________________ .40.............................

______________________________11 ...............................1

__________________________1111__ ...........................1....

_______________________111______ ........................1.......

____________________111_________ .....................1..........

__________________11________4444 ..................1..........4..

______________111________44_____ ...............1..........4.....

__________111________444________ ...........1..........4.........

________11________444___________ ........1..........4............

____11_________444______________ .....1..........4...............

_11_________444______________000 ..1..........4................0.

1________444_____________000____ ..........4................0....

______44______________000_______ ......4................0........

___44______________000__________ ...4................0...........

40______________000_____________ 4................0..............

_____________00_________________ ..............0.................

__________00____________________ ...........0....................

_______00_______________________ .......0........................

_0__0___________________________ ....0...........................

_0__0___________________________ .0..............................

4___________________________1111 ..............................1.

__________________________111___ ...........................1....

_______________________11_______ .......................1........

____________________11________40 ....................1.........40

________________111_______4400__ .................1.........40...

_____________111________400_____ ..............1.........40......

__________111_______4400________ ...........1.........40.........

_______11________400____________ .......1.........40.............

____11_______4400_______________ ....1.........40................

_11________400__________________ .1.........40...................

________400_____________________ ........40......................

_____400________________________ .....40.........................

_400____________________________ .40.............................

________________________________ ................................

________________________________ ................................

________________________________ ................................

________________________________ ................................

________________________________ ................................

00_2____________________________ .0..............................

_______________________________2 ................................

______________________________00 ...............................0

___________________________000_2 ............................0...

________________________000_222_ .........................0......

____________________000_________ .....................0..........

_________________000____________ ..................0.............

_______________00_______________ ...............0................

____________00__________________ ............0...................

_________00_____________________ .........0......................

_____00_________________________ .....0..........................

__0_____________________________ ..0.............................

________________________________ ................................

________________________________ ................................

________________________________ ................................

____________________________1111 ..............................1.

_________________________111____ ..........................1.....

______________________111_______ .......................1........

___________________111_______444 ....................1.........4.

________________111_______444___ .................1.........4....

_____________11_______444_______ ..............1.........4.......

__________11_______444__________ ..........1.........4...........

_______1________444_____________ .......1.........4..............

___11________444________________ ....1.........4.................

_________44_________________1111 .........4...................1..

______44_________________11_____ ......4...................1.....

___44_________________11_______4 ...4...................1........

44_________________11______4400_ 4...................1........4.0

________________11_______4000___ .................1........4.0...

_____________11______4400_____3_ .............1........4.0.......

_________11_______4000__________ ..........1........4.0..........

______11_______4400___________33 .......1........4.0.............

___11_______4400___________33333 ....1........4.0................

11_______4400______________33333 .1........4.0..................3

_____4400________________33333_4 ......4.0..................3....

___440________________33333__400 ...4.0..................3......4

4000________________333___40000_ 4.0..................3......4.0.

_________________333___4000_____ ..................3......4.0....

_____________3333___4000________ ...............3......4.0.......

__________333____4000___________ ...........3......4.0...........

_______333___44000______________ ........3......4.0..............

____333___44000_______________11 .....3......4.0.................

_333____4400________________3333 ..3......4.0...................3

_____4400_________________333324 ......4.0...................3...

__440__________________333324402 ..4.0...................3...40.2

_00_________________333344402222 .0...................3...40.2...

_________________333344022224440 ..................3...40.2....40

______________333344022224400000 ...............3...40.2....40...

___________333_400222__4400_____ ............3...40.2....40......

_______33334440222__4000________ ........3...40.2....40..........

____333__440222_4400____________ .....3...40.2....40.............

33333_40022___400___________11__ ..3...40.2....40.............1..

4__40_22___400___________11_____ ...40.2....40.............1.....

40_2___4000___________11______44 40.2....40.............1.......4

____40_____________11______4000_ ....40.............1.......40...

_40____________11_______400_____ .40.............1.......40......

____________11______4400________ .............1.......40.........

_________11______4400___________ ..........1.......40............

______11______4000______________ .......1.......40...............

___1_______4000_________________ ...1.......40...................

1______4400_____________________ 1.......40......................

_____400________________________ .....40.........................

__40____________________________ ..40............................

0___________________________3333 0..............................3

0_________________________3333_4 ...........................3....

_______________________333__444_ ........................3.....4.

___________________3333___44____ .....................3.....4....

________________333____44_______ ..................3.....4.......

_____________333___444__________ ...............3.....4..........

__________333___444_____________ ...........3.....4..............

______333____44_________________ ........3.....4.................

____33____44____________________ .....3.....4....................

_33____44_______________________ ..3.....4.......................

____44__________________________ .....4..........................

440_____________________________ .4..............................

________________________________ ................................

__40____________________________ ................................

________________________________ ................................

_______________________________1 ...............................1

__________________________111___ ............................1...

_______________________1111_____ .........................1......

_____________________11________4 .....................1..........

____4_____________11________4444 ..................1...........4.

_______________11_________444000 ...............1...........4..0.

____________11_________444000000 ............1...........4..0....

________111_________440000______ .........1...........4..0.......

____1111________444000__________ .....1...........4..0...........

__11_________440000_____________ ..1...........4..0..............

______________333__________44444 ...............3.............4..

___________33___________4444____ ...........3.............4......

________33___________4444_______ ........3.............4.........

_____33___________4444__________ .....3.............4............

__33___________4444_____________ ..3.............4...............

3___________44_4________________ .............4..................

______3__44_____________________ .........4......................

___3__40_____________________111 ......4.......................1.

___40_____________________111___ ...4.......................1....

4______________________111_____4 4.......................1.......

____________________111_____400_ .....................1........40

_________________11______400____ .................1........40....

0_______________________________ 0...............................

_____________________________111 ..............................1.

__________________________1111__ ...........................1....

_______________________11_______ .......................1........

____________________111_________ ....................1...........

_________________11_________4000 .................1...........40.

_____________111_________4000___ ..............1...........40....

__________111_________400_______ ...........1...........40.......

_______1__________4400__________ .......1...........40...........

____11_________4400_____________ ....1...........40..............

11__________4400______________22 .1...........40.................

_1_______4400________________222 ..........40....................

______440____________________222 .......40......................2

___40_____________________2222__ ...40......................2....

400____________________22222___4 40......................2......4

____________________2222____4000 .....................2......40..

_________________222_____44000__ ..................2......40.....

______________222_____4400333333 ...............2......40.....3..

___________222____4400__33333_44 ...........2......40.....3......

________22_____400___3333_______ ........2......40.....3.........

_____22_____4000__3333_______444 .....2......40.....3...........4

_2222____400___333________440222 ..2......40.....3...........402.

____44400___333________4402222__ ......40.....3...........402....

__40_____33_________442222_____4 ..40.....3...........402........

0_____33_________44222_______440 0.....3...........402.........40

0__33__________40222_______44000 ...3...........402.........40...

33_________44022_______440000___ 3...........402.........40......

________4402_______44000__000___ .........402.........40.........

_2__44022_______4400____________ .....402.........40.............

_44022_______4400_______________ ..402.........40................

022________400__________________ 02.........40...................

________400_____________________ ........40......................

_____40_________________________ .....40.........................

_40_____________________________ .40.............................

________________________________ ................................

________________________________ ................................

________________________________ ................................

________________________________ ................................

_0______________________________ ................................

_0__________________________0000 ..............................0.

__________________________000___ ...........................0....

_______________________00_______ ........................0.......

____________________00__________ ....................0...........

________________000_____________ .................0..............

_0___________000________________ ..............0.................

_0________000___________________ ...........0....................

________0_______________________ ........0.......................

_0__00__________________________ ....0...........................

_0______________________________ .0..............................

_0______________________________ ................................

________________________________ ................................

________________________________ ................................

__________________________000___ ...........................0....

_______________________00_______ ........................0.......

___________________00___________ ....................0...........

________________00______________ .................0..............

_____________00_________________ ..............0.................

__________00____________________ ...........0....................

_______00_______________________ ........0.......................

_0__0___________________________ ....0...........................

_0______________________________ .0..............................

________________________________ ................................

_____________________________111 ...............................1

___________________________111__ ............................1...

________________________11______ .........................1......

_____________________11______400 .....................1........40

__________________11______4400__ ..................1........40...

_______________11_______400_____ ...............1........40......

____________11______440_________ ............1........40.........

________11_______440____________ .........1........40............

_____11_______400_______________ .....1........40................

__11_______400__________________ ..1........40...................

1_______400_____________________ ........40......................

_____400________________________ .....40.........................

__400___________________________ ..40............................

________________________________ ................................

________________________________ ................................

_0_______11________4400_________ .0........1..........40.........

______1_________4400____________ ......1..........40.............

___11________4400_______________ ...1..........40................

1_________4400__________________ 1..........40...................

_______440______________________ ........40......................

_____40_________________________ .....40.........................

_40_____________________________ .40.............................

___________________________0000_ .............................0..

________________________0000____ ..........................0.....

_____________________0000_______ .......................0........

__________________0000__________ ...................0............

_______________0000_____________ ................0...............

____________000_________________ .............0..................

__________00____________________ ..........0.....................

____0__00_______________________ .......0........................

__00____________________________ ...0............................

0__0____________________________ 0...............................

________________________________ ................................

________________________________ ................................

__________________________4_____ ................................

________________________________ ................................

___________________________00000 ............................0...

________________________000_____ .........................0......

_____________________000________ ......................0.........

__________________000___________ ...................0............

_______________000______________ ................0...............

____________00__________________ ............0...................

_________00_____________________ .........0......................

______00________________________ ......0.........................

0__0____________________________ ...0............................

0__0____________________________ 0...............................

________________________________ ................................

________________________________ ................................

________________________________ ................................

________________________________ ................................

___________________________000__ ............................0...

_______________________0000_____ ........................0......0

____________________000_____0000 .....................0......0...

_________________000__0__00_____ ..................0......0......

_4411______400__333______4444___ ..41........40....3........4....

______4440___333_____4444_______ ........40....3........4........

_____400__333_____4444__________ .....40....3........4...........

__40___333_____4444_____________ ..40....3........4..............

0___333_____4444________________ 0....3........4.................

_333______444___________________ ..3........4....................

______444_______________________ .......4........................

____44__________________________ ....4...........................

_44_____________________________ .4..............................

________________________________ ................................

________________________________ ................................

________________________________ ................................

___________________________1111_ .............................1..

________________________111_____ .........................1......

____________________111_________ ......................1.........

__________________111______4444_ ...................1.........4..

_______________11_______444_____ ................1.........4.....

____________11_______444________ .............1.........4........

_________11_______444___________ .........1.........4............

_____11________444______________ ......1.........4...............

_1111______4444_________________ ...1.........4..................

1________44_____________________ 1.........4.....................

______44________________________ .......4........................

___44___________________________ ...4............................

4________________00_____________ 4...............................

4_______________________________ ................................

____0________________0__________ ................................

_____________________000________ ................................

_________________________00_____ ................................

____________0________________0__ ................................

___________________________0000_ .............................0..

_________________________000____ ..........................0.....

____________________0000________ .......................0........

__________________000___________ ....................0...........

________________00______________ .................0..............

_____________00______________555 .............0..................

_______0__00______________555555 ..........0..................50.

____0__0_______________555555555 .......0..................50....

____0______________5555555550000 ....0..................50......0

_0____________555555555500000000 .0..................50......0...

_________55_55555555000000____11 ................50......0......1

___5__55_5555555500_00_____11_3_ .............50......0......1...

5__55_55055505_0__00____11______ ..........50......0......1......

55055055505_0_00_____11______440 .......50......0......1......4..

555550_50__00_____11_____440____ ....50......0......1......4.....

55055___0_____11______44________ 50......0......1......4.........

5_0__00_____1______44___________ .....0......1......4............

_00______1______44______________ ..0......1......4...............

0_____1______44_________________ ......1......4..................

___1______44____________________ ...1......4.....................

______44________________________ ......4.........................

___44___________________________ ...4............................

444_____________________________ 4...............................

____________________________1111 ..............................1.

_________________________111____ ..........................1.....

______________________11________ .......................1........

___________________111_______444 ....................1..........4

________________111_______444___ .................1..........4...

_____________11________444______ ..............1..........4......

_________111_______444__________ ..........1..........4..........

______11________444_____________ .......1..........4.............

__4_____________________________ ..4.............................

______________________6666666666 .............................6..

_0______11__________4400________ .0.......1............40........

________________________________ ................................

________________________________ ................................

________________________________ ................................

________________________________ ................................

________________________________ ................................

____________________________2222 ................................

________________________________ ................................

________________________________ ................................

_____________________________22_ ................................

___________________________11111 .............................1..

_______________________11111___4 .........................1......

_____________________111______44 ......................1.........

__________________111________400 ...................1............

_______________111______________ ................1...............

____________11_____________33303 .............1..................

_________11__________________4_4 .........1.....................4

______11___________________44000 ......1.....................40..

___1____________________4400____ ...1.....................40.....

1___________________44000_______ 1.....................40........

__________________4000__________ ...................40...........

______________4400______________ ...............40...............

___________4400_________________ ............40..................

_________400____________________ .........40.....................

______40________________________ ......40........................

___40___________________________ ...40...........................

00______________________________ 0...............................

0_______________________________ ................................

________________________________ ................................

____________________________0000 .............................0..

_________________________000____ ..........................0.....

_____________________0000_______ .......................0........

__________________0000__________ ...................0............

_______________000______________ ................0...............

_____________00_________________ .............0..................

__________0_____________________ ..........0.....................

_______0____________________1111 .......0......................1.

___0_____________________11____4 ...0......................1.....

0____________________111____4000 0......................1.....40.

___________________111___40403_3 ....................1.....40....

_0_____________________________3 .0..............................

__2_________2___________3_______ ................................

______2_________________________ ................................

________________________________ ................................

______________________________1_ ................................

___________________________11111 .............................1..

_________________________111____ ..........................1.....

______________________11_______4 .......................1........

___________________11_______4444 ....................1.........4.

________________11_______444____ ................1.........4.....

_____________11_______444_______ .............1.........4........

__________11_______44___________ ..........1.........4...........

____1_11________44______________ .......1.........4..............

___111______444_________________ ....1.........4.................

1________444____________________ 1.........4.....................

______444_______________________ .......4........................

____44__________________________ ....4...........................

44______________________________ .4..............................

___________________________000__ ............................0...

________________________000_____ .........................0......

_____________________000________ ......................0.........

__________________000___________ ...................0............

_______________00_______________ ...............0................

____________00__________________ ............0...................

_________00_____________________ .........0......................

_440____________________________ ..4.............................

________________________________ ................................

_____________________________111 ..............................1.

__________________________111___ ...........................1....

_______________________11_______ ........................1.......

____________________111______400 .....................1........40

_________________111______4000__ ..................1........40...

______________11_______400______ ..............1........40.......

___________11______4400_________ ...........1........40..........

________11______400_____________ ........1........40.............

_____1_______4400_______________ .....1........40................

_11_______4400__________________ ..1........40...................

_______400______________________ .......40.......................

__0_400_________________________ ....40..........................

_400____________________________ .40.............................

________________________________ ................................

________________________________ ................................

________________________________ ................................

________________________________ ................................

________________________3____000 .............................0..

_________________________000____ ..........................0.....

______________________000_______ .......................0........

___________________000__________ ....................0...........

________________000_____________ .................0..............

_____________000________________ .............0..................

__________000___________________ ..........0.....................

_______00_______________________ .......0........................

_0__0___________________________ ....0...........................

00______________________________ .0..............................

_____3______________________2222 ..............................2.

__3______________________22222__ ...........................2....

______________________2222___440 ........................2.....40

__________________22222___400000 ....................2.....40....

_______________2222___44000_____ .................2.....40.......

____________22222_44000_________ ..............2.....40..........

_________2222__4400__________333 ...........2.....40.............

______2222__44000_______________ ........2.....40................

_22222___4400___________________ ....2.....40....................

222___4400______________________ .2.....40.......................

___4400_________________________ ....40..........................

_400____________________________ .40.............................

____________________________3333 ..............................3.

_________________________3333_44 ...........................3...4

_______________________333_44000 ........................3...40..

___________________3333_4400____ .....................3...40.....

________________3333_4000_______ ..................3...40........

_____________333_44000__________ ..............3...40............

__________333_44000_____________ ...........3...40...............

_______333_44000________________ ........3...40..................

____333_44000___________________ .....3...40.....................

033334400_______________________ ..3...40........................

0340____________________________ ..40............................

0_______________________________ 0...............................

___________________________11111 .............................1..

__________________________111___ ..........................1.....

______________________11_______4 .......................1........

___________________11______4400_ ....................1........40.

________________11______40000_33 ................1........40.....

_____________11______4000_______ .............1........40........

__________11______4000__________ ..........1........40...........

_______11______4000_____________ .......1........40..............

___11_______4000________________ ....1........40.................

11______44000___________________ 1........40.....................

______400___________________3333 ......40.....................3..

_________444____________________ ..........4.....................

____4__44_______________________ .......4........................

________________________________ ................................

____________________________1111 .............................1..

_________________________111____ ..........................1.....

______________________11________ ......................1.........

___________________11________444 ...................1...........4

________________11_________44444 ................1...........4...

____________111__________4444___ .............1...........4......

_________11__________444________ ..........1...........4.........

______11_________4444___________ ......1...........4.............

___11__________44_______________ ...1...........4................

11__________44__________________ 1...........4...................

_________44_____________________ .........4......................

__4__444________________________ ......4.........................

__40____________________________ ..4.............................

______________________________00 ..............................0.

__________________________0000__ ...........................0....

_______________________000______ ........................0.......

___________________000__________ ....................0...........

_________________00_____33______ .................0..............

_____________000_____3__________ ..............0.................

__________000_____3___________3_ ...........0....................

________00_____3________________ ........0.......................

____0_______3______________11111 ....0........................1..

_0______3________________1111___ .0........................1.....

_____3________________111_______ .......................1........

___________________11___________ ....................1...........

________________11__________4400 .................1...........40.

_____________11__________4000___ .............1...........40.....

__________11_________4400_______ ..........1...........40........

_______1__________4400__________ .......1...........40...........

___11___________400_____________ ....1...........40..............

_1___________400________________ .1...........40.................

_________4400___________________ .........40.....................

______400_______________________ ......40........................

___400__________________________ ...40...........................

40______________________________ 40..............................

________________________________ ................................

___________________________0____ ................................

________________________________ ................................

0__________________________33333 .............................3..

________________________3333___4 ..........................3.....

_____________________3333____444 ......................3.........

__________________333____4444444 ...................3............

_______________333________444111 ................3.............4.

____________3333________44444___ .............3.............4....

_________333_________4444444____ ..........3.............4.......

_____3333_________444444____111_ ......3.............4.........1.

___333_________44444_____111____ ...3.............4.........1....

3___________44444_____111_______ 3.............4.........1.......

3_________4444_____11________444 ...........4.........1.........4

______440________11_______4400__ ........4.........1.........40..

_4_440________11_______440______ ....4.........1.........40......

_4________111_______440_________ .4.........1.........40.........

_____1__1________440____________ ........1.........40............

____11________440___________1133 .....1.........40............1.3

111________400__________5113333_ ..1.........40............1.3...

________400__________111333___44 ........40............1.3.......

_____40___________113333_____444 .....40............1.3.........4

4440___________113333______44440 ..40............1.3.........40..

0___________11333_______44000___ 0............1.3.........40.....

0________11333______44400_______ ..........1.3.........40........

____1_1133_______44000__________ ......1.3.........40............

___4_____44_____________________ ...............................0

___________________________000__ ............................0...

_______________________000______ ........................0.......

____________________00__________ .....................0..........

_________________000____________ ..................0.............

______________000_______________ ...............0................

___________00___________________ ............0...................

____0__00_______________________ ........0.......................

_00_00__0_______________________ .....0..........................

_00_____________________________ ..0.............................

40_11__________44__________11111 .0.1............4...........1...

1__________44__________11_______ ............4...........1.......

________444_________11_________4 .........4...........1..........

______44_________11_____________ ......4...........1.............

4__4__________111____________444 ...4...........1...............4

4_________111_____________444444 4...........1...............4...

_______11______________44444____ ........1...............4.......

__1_11______________4444________ .....1...............4..........

_11______________4444___________ ..1...............4.............

______________4444______________ ...............4................

___________4444_________________ ............4...................

_______444______________________ ........4.......................

_____44_________________________ .....4..........................

__40____________________________ ..4.............................

____________________________000_ .............................0..

_________________________00_____ ..........................0.....

______________________00_______0 .......................0........

___________________00___________ ....................0...........

________________00______________ ................0...............

_____________00_________________ .............0..................

__________00____________________ ..........0.....................

_______0________________________ .......0........................

____0___________________________ ....0...........................

0_______________________________ 0...............................

________________________________ ................................

________________1________44_11__ .............................1..

____________11________44_11_____ ..........................1.....

_________11________4_111_______4 ......................1.........

______11________4_11________4444 ...................1..........4.

___11________44111________444___ ................1..........4....

_1__________11_________444______ .............1..........4.......

______4__11_________444_________ ..........1..........4..........

______11________444_____________ ......1..........4..............

___11________444________________ ...1..........4.................

11________44____________________ 1..........4....................

_1_____444______________________ ........4.......................

____444_________________________ .....4..........................

_44_44__________________________ .4..............................

__4_____________________________ ................................

______________________11______44 ................................

___________________________11111 ............................1...

_______________________111______ .........................1......

____________________111_________ .....................1..........

__________________11________444_ ..................1..........4..

______________111________444____ ...............1..........4.....

___________111________444_______ ............1..........4........

_____4__111________444__________ .........1..........4...........

_4___11________444______________ .....1..........4...............

_41_________444_________________ ..1..........4..................

0________444____________________ ..........4.....................

______44________________________ .......4........................

____40__________________________ ....4...........................

40______________________________ 4...............................

______________________________00 ...............................0

__________333_____________44444_ ...........3.................4..

______333______________44444_444 ........3.................4.....

00_____________________________1 .0..............................

________________________________ ................................

________________________________ ................................

____________________________1111 ..............................1.

_________________________111____ ..........................1.....

______________________11_______4 .......................1........

___________________11_______444_ ....................1........4..

________________11_______444____ .................1........4.....

_____________11_______44________ ..............1........4........

__________11______444___________ ..........1........4............

______11_______444______________ .......1........4...............

___11_______44__________________ ....1........4..................

_1_______444____________________ .1........4.....................

______44________________________ .......4........................

___44___________________________ ...4............................

40______________________________ 4...............................

_____________________________111 ...............................1

___________________________1111_ ............................1...

________________________111_____ .........................1......

_____________________11_________ ......................1.........

__________________11____________ ...................1............

_______________11__________44444 ...............1............4...

____________11__________444_____ ............1............4......

_________11__________444________ .........1............4.........

______11__________444___________ ......1............4............

___11__________444______________ ...1............4...............

____________444_________________ ............4...................

_________44_____________________ .........4......................

______44________________________ ......4.........................

___44___________________________ ...4............................

44______________________________ 4...............................

________________________________ ................................

____________________________1111 .............................1..

_________________________111____ ..........................1.....

______________________111_______ .......................1........

___________________11___________ ....................1...........

________________11______________ ................1...............

_____________11_____________4444 .............1..................

_________11____________444444444 ..........1..................4..

_0______________________________ .0..............................

________________________________ ................................

___________________________111__ ............................1...

________________________111_____ .........................1......

_____________________111________ ......................1.........

__________________11________44__ ...................1.........4..

_______________11________444____ ................1.........4.....

____________11_______444________ ............1.........4.........

_________11_______444___________ .........1.........4............

______1________444______________ ......1.........4...............

___1_________44_________________ ...1.........4..................

1________444____________________ 1.........4.....................

______44________________________ ......4.........................

___40___________________________ ...4............................

40______________________________ 4...............................

________________________________ ................................

________________________________ ................................

________________________________ ................................

____________________________000_ .............................0..

________________________000_____ .........................0......

_____________________000________ ......................0.........

__________________000___________ ...................0............

_______________000______________ ................0...............

_____________________________111 ...............................1

___________________________1111_ ............................1...

_______________________111______ ........................1.......

____________________111________4 .....................1..........

_________________111________4444 ..................1............4

_______________11__________40000 ...............1............40..

___________11__________44000____ ............1............40.....

________1__________4400__00000__ ........1............40......0..

____11__________4400____000_____ .....1............40......0.....

_11__________4400____000________ ..1............40......0........

___________4000____00___________ ............40......0...........

________440_____00______________ .........40......0..............

_____40______0__________________ .....40......0..................

__40______0_____________________ ..40......0.....................

0___0__0________________________ 0......0........................

____0___________________________ ....0...........................

_0______________________________ .0..............................

________________________________ ................................

________________________________ ................................

______________________________00 ...............................0

___________________________000__ ............................0...

________________________00______ ........................0.......

____________________000_________ .....................0..........

__________________00____________ ..................0.............

_______________00_______________ ...............0................

____________00__________________ ............0...................

________00______________________ ........0.......................

_____0__________________________ .....0..........................

__0_____________________________ ..0.............................

_____________________________000 ..............................0.

_________________________000____ ..........................0.....

______________________000_______ .......................0........

___________________000__________ ....................0...........

________________000_____________ .................0..............

_____________000________________ ..............0.................

__________00____________________ ..........0.....................

______00________________________ .......0........................

____0___________________________ ....0...........................

_0______________________________ .0..............................

___________________________11111 ............................1...

________________________111_____ .........................1......

_____________________111______44 ......................1.........

__________________11____________ ...................1............

_______________11_______________ ...............1................

___________111_______________444 ............1..................4

_________11______________4444444 .........1..................4...

____1111______________4444______ ......1..................4......

___11______________44444________ ...1..................4.........

4_______________444444_________4 ..................4.............

_____________4444444____________ ...............4................

___________444444______________4 ............4...................

________44444___________________ .........4......................

_____44_44______________________ ......4.........................

__4_____________________________ ..4.............................

________________________________ ................................

__________________________111111 .............................1..

________________________1111_3__ ..........................1.....

_____________________111________ .......................1........

__________________111__________4 ....................1...........

_______________111___________444 .................1.............4

___________1111___________44000_ .............1.............40...

_______11111___________4400_____ ..........1.............40......

____11111____________400________ .......1.............40.........

_1__11___________4400___________ ....1.............40............

________440_____________________ ........40......................

_____40_________________________ .....40.........................

__40____________________________ ..40............................

_____________________333________ ................................

____________________________111_ .............................1..

_________________________11_____ ..........................1.....

______________________11________ .......................1........

___________________11_______040_ ...................1.........40.

_______________11_________400___ ................1.........40....

____________11________040_______ .............1.........40.......

_________11________040__________ ..........1.........40..........

______11_______4000_____________ .......1.........40.............

___1_________400_______________2 ...1.........40.................

1_________40________________2222 1.........40.................2..

______440________________2222___ .......40.................2.....

____40_______________2222_______ ....40.................2........

440_______________2222_______400 .40.................2.........40

______________2222_______44000__ ................2.........40....

________4__22222______4400______ .............2.........40.......

________22222_____44000_________ ..........2.........40..........

_____2222______44000____________ .......2.........40.............

2222222_____44000_______________ ....2.........40................

2233_3___44000__________________ 2.........40....................

2__3___400______________________ .......40.......................

____400_________________________ ....40..........................

4400____________________________ .40.............................

________________________________ ................................

________________________________ ................................

________________________________ ................................

00______________________________ .0..............................

0__0________________________1111 ..............................1.

__________________________1111__ ...........................1....

______________________111_______ ........................1.......

___________________11_________44 ....................1..........4

________________11_________44000 .................1..........40..

____________111_________4400____ ..............1..........40.....

_________111_________400________ ...........1..........40........

______11__________400___________ ........1..........40...........

___11__________400______________ ....1..........40...............

11_________4400_________________ .1..........40..................

________440_____________________ .........40.....................

_____440________________________ ......40........................

___40___________________________ ...40...........................

0_______________________________ 0...............................

____________________________1111 .............................1..

________________________111_____ .........................1......

_____________________11________4 ......................1.........

__________________111_______4400 ...................1.........40.

_______________11________4400___ ................1.........40....

____________11________400_______ .............1.........40.......

_________11_______4400__________ .........1.........40...........

______1________0400_____________ ......1.........40..............

___11_______4400________________ ...1.........40.................

11________400___________________ 1.........40....................

______440_______________________ .......40.......................

___400__________________________ ...40...........................

40______________________________ 40..............................

________________________________ ................................

________________________________ ................................

________________________________ ................................

______________________________11 ................................

____________________________1111 .............................1..

_________________________111____ ..........................1.....

______________________11______44 ......................1........4

_____________________111________ ......................1.........

__________________11_______4000_ ...................1.........40.

_______________11_______44400___ ................1.........40....

____________11_______4000_______ .............1.........40.......

_________11_______4000__________ ..........1.........40..........

______11_______400______________ ......1.........40..............

___1________440_________________ ...1.........40.................

1_______4400____________________ 1.........40....................

______400_______________________ .......40.......................

___440__________________________ ....40..........................

40______________________________ 40..............................

________________________________ ................................

____________________________1111 .............................1..

_________________________111____ ..........................1.....

______________________11________ .......................1........

___________________11_________44 ....................1..........4

_______________111________4000__ ................1..........40...

____________11_________400______ .............1..........40......

_________11________4400_________ ..........1..........40.........

______11________4400____________ .......1..........40............

___11________4400_______________ ....1..........40...............

11________4400__________________ 1..........40...................

_______4400_____________________ ........40......................

____440_________________________ .....40.........................

__40____________________________ ..40............................

0_______________________________ 0...............................

________________________________ ................................

_____________________________11_ ..............................1.

__________________________11____ ..........................1.....

______________________111_______ .......................1........

____________________11_________4 ....................1...........

_________________11________44___ .................1...........4..

______________11________4444____ ..............1...........4.....

__________11________444_________ ..........1...........4.........

_______11________444____________ .......1...........4............

____11_________44_______________ ....1...........4...............

_11________4444_________________ .1...........4..................

_________44_____________________ ..........4.....................

______44________________________ ......4.........................

4__44___________________________ ...4............................

44______________________________ 4...............................

_0___________________________2__ .0..............................

________________________________ ................................

_________________________00_____ ................................

_____________________________333 ...............................3

_________________________3333___ ............................3...

______________________333___444_ ........................3.....4.

___________________333___444____ .....................3.....4....

________________333___444_______ ..................3.....4.......

____________3333___444__________ ...............3.....4..........

_________333____44______________ ............3.....4.............

_____3333___444_________________ ........3.....4.................

__3333___444____________________ .....3.....4....................

_33____44____________________000 ..3.....4.....................0.

____44____________________000___ .....4.....................0....

_44____________________0000_____ ..4.....................0.......

___________________000__________ ....................0...........

________________00000___________ .................0..............

_____________000________________ ..............0.................

_________0000_________________22 ...........0....................

_____0_00___________________2222 ........0.......................

_0__0______________________22222 ....0...........................

_0__0_______________________2222 .0..............................

_0__________________________2222 ...............................2

________________________333__440 .........................3....4.

_____________________333___4000_ ......................3....4.0..

__________________333__4400000__ ...................3....4.0.....

_______________333__44000_______ ................3....4.0........

