2.8690167011753207 0.30274240858912754 0.8814894153225806

____11___________44444_____44___ .....1...........4..............
_40_____________________________ .40.......................3....4

________________________________ .......................3....40..

4______00_______________________ ....................3....40.....

4_0400__________________________ ................3....40.........

40______________________________ .............3....40............

________________________________ ..........3....40...............

0____________________________0__ .......3....40..................

0_2_________________________3333 ....3....40.....................

2_____40_________________333_440 3....40.........................

0_440_________________33_____333 ..40............................

___4______________________3333_4 0...............................

__________________________3_____ .............................3..

_______________________33___4400 ..........................3....4

__4________________333__44000___ .......................3....40..

________________333__44000______ ....................3....40.....

_____________333__44000_________ ................3....40.........

_________3333__4400_____________ .............3....40............

______333___4400________________ ..........3....40...............

___333___44000__________________ .......3....40..................

__33__4000______________________ ....3....40.....................

___400__________________________ 3....40.........................

_000____________________________ ..40............................

0__0____________________________ 0...............................

________________________________ ................................

________________________________ ................................

_____________________________222 ................................

___________________________1111_ ..............................1.

_________________________11_____ ..........................1.....

_____________________111________ .......................1........

___________________11________444 ....................1.........4.

_______________111________444444 .................1.........4....

____________11_________444444___ ..............1.........4.......

_________11________44444________ ..........1.........4...........

______11_________4444___________ .......1.........4..............

___1__________4444______________ ....1.........4.................

1__________444__________________ .1.........4....................

_______44_4_____________________ ........4.......................

____4444________________________ ....4...........................

_4____________________________11 .4..............................

______________________4_________ ................................

_____________4444____222____4440 ............................1...

______4_____44___________111____ .........................1......

______333___444111_______4000___ .........3....4..1..........40..

___333____40111_______4000______ .....3....4..1..........40......

_______40111______4000__________ ..3....4..1..........40.........

____4_111______4400_____________ ....4..1..........40............

___11_______4400________________ .4..1..........40...............

11_______4400___________________ .1..........40..................

______440_______________________ ........40......................

___440__________________________ .....40.........................

_0_______________________4______ ..40............................

________________________________ ................................

______________________________11 .............................3..

__________________________333_44 .........................3....4.

_______________________33_44400_ ......................3....4....

____________________33__440_____ ...................3....4.......

________________33__444_________ ................3....4..........

___0_________33__444________2222 .............3....4.............

0_________33__440_______________ .........3....4.................

_______33__440__________________ ......3....4....................

___333__440_____________________ ...3....4.......................

333__440________________________ 3....4.........................1

___4________________________11__ ..4.........................1...

_________________________11_____ ........................1.......

_____________________111________ .....................1..........

__________________11________444_ ..................1..........4..

_______________11________444____ ...............1..........4.....

____________11________444_______ ............1..........4........

_________11_______444___________ ........1..........4............

______11________4444____________ .....1..........4...............

__11_________4444_______________ ..1..........4..................

1________44_4___________________ ..........4.....................

______44________________________ .......4........................

___44_4_________________________ ...4............................

___________________3____00______ 4...............................

__________0_____________________ ................................

________________________________ ..............................0.

________________________________ ...........................0....

____________________________00__ ........................0.......

_0______________________________ ....................0...........

______________________________11 .................0..............

______________________________11 ..............0.................

________________________________ ...........0....................

__________________________3333__ ........0.......................

____________________________00__ ....0...........................

________________________000_____ .0..............................

___________________00________000 ................................

40_____________________________1 ................................

_3___40_________________________ .............................2..

_________________________2222__4 ..........................2.....

_____________________2222___4400 .......................2.....40.

__________________2222___4000___ ...................2.....40.3...

_______________222___4400_333334 ................2.....40.3....40

____________22____40003333__4440 .............2.....40.3....40...

_________22___4400_3333___4404_4 ..........2.....40.3....40......

_____222___4400_3333___444444444 .......2.....40.3....40.........

__222___4400_3333___4404_4______ ...2.....40.3....40.............

22____400__33____4404___________ 2.....40.3....40................

_40____333____4004______________ ...40.3....40................1..

____333____4004___________11____ 40.3....40................1.....

_333____4004___________11______4 3....40................1........

______400___________11______4000 .40................1............

________________111______4400___ ................1............40.

_40__________111______4400______ .............1............40....

__________11_______400______333_ ..........1............40.......

_______11_______4000________333_ .......1............40.........3

________________________________ ............0...................

______________________________0_ .........0......................

_____________________33____000__ ......0.........................

________________________________ ...0............................

________________________________ ................................

_3______________________________ ................................

___________________________11333 ................................

__________________________333311 ................................

_____________________________111 ................................

_________________________333____ ............................1...

_______________________3___11111 .........................1......

____________________3___111_____ ......................1.........

____________________111____4444_ ..................1.............

__________________11_____444____ ...............1................

_______________11_____444_______ ............1................4..

0___0___________________________ .0..............................

________________________________ ................................

___________________________0____ ................................

______________________________3_ ................................

________________________________ ................................

________________________________ .............................3..

___________________________33___ ..........................3....4

_______________________333__444_ .......................3....4...

____________________333__444____ ....................3....4......

_________________33___44________ ................3....4.........1

______________33__444___________ .............3....4.........1...

_0_________33__444___________11_ ..........3....4.........1......

_4______3___4____________222___4 .......3....4.........1........4

_____3________________2____4400_ ....3....4.........1........40..

___________________22_____000___ 3....4.........1........40......

________________2_____________11 ..4.........1........40.........

_____________2_______________111 .........1........40............

_______________40____________333 ......1........40...............

____________40__________________ ...1........40..................

________________________________ ........40......................

___________________________1111_ .....40.........................

________________________111_____ ..40............................

_____________________11______440 0...............................

___________________________2222_ ................................

0__0_________________________111 .0..............................

0_______________________________ ...............................1

__________________________111___ ............................1...

_______________________111______ .........................1......

____________________111_______44 ......................1.........

_________________111________4000 ..................1.........40..

______________111________4040344 ...............1.........40.....

____________11________44004_____ ............1.........40.......1

________111_______4404__________ .........1.........40.......1...

____111________4000___111_______ ......1.........40.......1......

__11_________404___11__________4 ..1.........40.......1..........

1_________4444__11___________444 .........40.......1...........40

_______44___111__________444001_ ......40.......1...........40...

_________11___________4400______ ...40.......1...........40......

______111__________4441________4 40.......1...........40.........

___11___________444_________44__ .....1...........40.............

11__________4444________________ ..1...........40................

_________4444___________________ ...........40...................

______44________________________ ........40......................

_____40_________________________ .....40.........................

__44_______________________000__ .40.............................

________________________________ ................................

___44___________________________ ................................

__0_____________________________ .............................2..

__0_____________________________ .........................2......

________________________________ .............................3..

___________________________55555 ..........................3....4

________________________55555555 ......................3....4....

_____________________55555555555 ...................3....4.......

____________________5555________ ................3....4..........

__________________55________1116 .............3....4.............

__________________________11____ ..........3....4.............1..

______________________111_______ ......3....4.............1......

___________________111_________4 ...3....4.............1.........

_________________11_______444__4 3....4.............1..........40

_____________1111______444444444 ..4.............1..........40...

__________11________444_________ .............1..........40......

_______11________444____________ .........1..........40..........

_____11_______444_______________ ......1..........40.............

__1________444__________________ ...1..........40................

________44__________________2222 1..........40...................

______44__________________2222__ ........40......................

___44___________________22222___ ....40.......................2..

_____________________22222__4440 .40.......................2.....

__________________22222__4400000 .......................2........

_______________2222__440_______0 ....................2.........40

___________22222__4400______000_ .................2.........40...

_________2222___400_______00____ .............2.........40.......

______22____4400________________ ..........2.........40..........

2__22_2__440____________________ .......2.........40.............

2__2__400_______________________ ....2.........40................

2_______________________________ .2.........40...................

________________________________ .......40.......................

________________________________ ....40..........................

________________________________ .40.............................

________________________________ ................................

___2____________________________ ................................

_0______________________________ ................................

________________________________ ................................

____________________________1111 ................................

____________________________1111 ..............................3.

____________________________1111 ...........................3...4

_________________________33___44 ........................3...40..

_____________________3333__44___ .....................3...40.....

__________________33____44______ .................3...40.........

_______________33____440________ ..............3...40............

____________33____440___________ ...........3...40...............

_________3_____44_______________ ........3...40..................

______3_____44__________________ .....3...40.....................

__33_____44_____3_____________00 .3...40.........................

3_____40________________________ ..40............................

___44____3______________________ 0...............................

4400____________________________ ................................

________________________________ ................................

________________________________ ................................

________________________________ ................................

__________________________00____ ................................

________________________________ ................................

___________________________3____ ................................

__________________________3333__ ................................

________________________________ ..............................0.

_____________________________11_ ..........................0.....

________________________________ .......................0........

4_____________________________11 ....................0...........

________________________________ .................0..............

4__________________________1111_ ..............0.................

_44_____________________________ ..........0.....................

________________________________ .......0........................

_____________________________222 ....0...........................

__________11_______400_111______ 4.........1........40...1.......

_______1________400_111_______44 .......1........40...1.........4

____1________400_111_______444__ ....1........40...1.........40..

_1________40__111_______444_____ .1........40...1.........40.....

______440__11_______444_________ ......40...1.........40.........

___4440_11________44____________ ...40...1.........40............

_____11_______444_______________ 40...1.........40...............

__11_______444__________________ ..1.........40..................

1_______44______________________ .........40.....................

______44________________________ .....40.........................

___44___________________________ ..40............................

________________________________ .............................3..

________________________________ ..........................3...40

________________________________ ......................3...40....

40______________________________ ...................3...40.......

________________________________ ................3...40..........

________________________________ .............3...40.............

________________________________ ..........3...40................

_0______________________________ ......3...40....................

0_______________________________ ...3...40.......................

00______________________________ 3...40..........................

00______________________________ .40.............................

_0________________________1_____ ................................

________________________________ ..............................1.

____________________________11__ ...........................1....

________________________111_____ .......................1........

____________________111______444 ....................1........40.

_________________11_______440___ .................1........40....

______________11_______44_______ ..............1........40.......

___________11_______40______2___ ...........1........40..........

________11_______400____________ .......1........40..............

____111______4400_______________ ....1........40.................

11________400___________________ .1........40....................

______440_______________________ .......40.......................

___440__________________________ ....40..........................

40______3_______________3_______ 40..............................

_____________________________333 ................................

________________________________ ...0............................

0_______________________________ ................................

___________________________2222_ ..............................2.

________________________22222___ ..........................2...40

_____________________2222222__40 .......................2...40...

__________________22222____44000 ....................2...40......

_______________2222____44000____ .................2...40.........

____________22222___440000______ ..............2...40............

_________22222___400__0_________ ..........2...40................

______222____44000_0____________ .......2...40...................

__22222____4000_________________ ....2...40......................

2222___4400___________________33 .2...40.........................

2___400___________________33____ ..40............................

________________________________ ................................

________________________________ ................................

______________________________66 ................................

________________________________ ...............................0

_______________________________6 ............................0...

________________________________ .........................0......

__0_____________________________ ......................0.........

_0_4____________________________ ..................0.............

___4____________________________ ...............0................

4040____________________________ ............0...................

00______________________________ .........0......................

_____________________________111 ......0.........................

0___________________________3333 ..0.............................

00________________________333324 ................................

0_____________________________11 ..............................3.

0__________________________33__0 ...........................3....

__440___________________________ ........................3....40.

4__4____________________________ .....................3....40....

________________________________ ..................3....40.......

______________3_________________ ..............3....40...........

___________3____________________ ...........3....40..............

________3______________________1 ........3....40.................

____33__________________________ .....3....40....................

4_______________________________ ..3....40.......................

_____________________________00_ ...40...........................

40______________________________ 40.............................2

___0_________________________333 ............................2...

0_______________________________ .........................2......

_____2____________________111333 ......................2.........

__22____________________________ ..................2..........40.

________________________________ ...............2..........40....

4_______________________________ ............2..........40.......

___00___________________________ .........2..........40..........

0_______________________________ ......2..........40.............

________________________________ ..2..........40................2

________________________________ ..........40................2...

0_______________________________ .......40................2......

0_______________________________ ....40................2........4

______________________________33 .40................2........40..

__________________________3333_4 ...............2........40......

_____________________________0__ ............2........40.........

_____________________________11_ .........2........40............

_____________________________333 ......2........40...............

______________33__44______3_____ ...2........40..................

__________33___40______3________ ........40....................3.

_______33___400_________________ .....40....................3....

___333___40_________________000_ ..40....................3......4

_____40__________________000____ 0....................3......40..

___________3__________00________ ..................3......40.....

_______33__________00___________ ..............3......40........2

_____3______4___________________ ...........3......40........2...

_3______________________________ ........3......40........2......

________________________________ .....3......40........2.......40

________________________________ ..3......40........2.......40...

___40___________________________ .....40........2.......40.......

4___0___________________________ ..40........2.......40..........

0_______________________________ 0........2.......40.............

________________________________ ......2.......40................

________________________________ ...2.......40...................

________________________________ .......40.......................

________________________________ ....40..........................

________________________________ .40.............................

____________________________1111 ................................

_______33_______________________ ...............................3

____33__________________22____44 ...........................3...4

_3___________________22____44000 ........................3...40..

_________________222___44000____ .....................3...40.....

_____2________222___4000________ ..................3...40........

_22________222___4400___________ ...............3...40...........

________22____400_______________ ...........3...40...............

_____22____400__________________ ........3...40..................

_2222__4400_____________________ .....3...40.....................

222__4400_______________________ ..3...40........................

___40________________________00_ ...40...........................

__________________________000___ 0...............................

________________111______4000___ .3....40..........1.........40..

_____________11______4400_______ ..40..........1.........40......

__________11______4000__________ 0..........1.........40.........

_________________________111____ ..........................1.....

_______________________11_______ .......................1........

____________________11_________4 ...................1........40..

_________________11________4444_ ................1........40.....

______________111_______444_____ .............1........40........

_________11_1_______444_________ ..........1........40...........

______11_________444____________ .......1........40..............

___111_1______44________________ ...1........40..................

_11_______444___________________ 1........40.....................

1______444______________________ ......40........................

____44_____________________0____ ...40...........................

_44_____________________00______ 40..............................

_______________________________0 ................................

_0____________________________33 0...............................

______________________________13 ..............................1.

_____________________________111 ...........................1....

_________________________11_____ ........................1.......

_____________________111______44 .....................1..........

___________________11______400__ .................1..........40..

_______________11_______400_____ ..............1..........40.....

____________11______440_________ ...........1..........40........

_________11______400_________333 ........1..........40..........3

______11______400_________333__4 .....1..........40..........3...

___11______400________333__44000 .1..........40..........3......4

1_______40__________33__440_____ .........40..........3......4...

____440__________33__440________ ......40..........3......4...1..

_444__________33__440______111__ ...40..........3......4...1.....

__________333__440_____111______ 40..........3......4...1........

_______33___40______111_________ ........3......4...1............

____33__440______111_______4000_ .....3......4...1............40.

333___40______111_______4400___2 ..3......4...1............40....

___40______11________4400__2222_ ......4...1............40.......

________11________440___222__400 ...4...1............40..........

____111_______4400___22___4400_0 ...1............40..............

__1_________400___222__440______ 1............40.................

1_______440____22___400_________ ..........40....................

_____440____22___400____________ .......40.......................

___40____22__440________________ ....40..........................

______2____400__________________ 40..............................

____________00__________________ ................................

______________________________33 ................................

___________________________22224 ................................

____________________________2222 ................................

_______________________22_____22 .............................2..

____________________2_____222_44 ..........................2.....

________________22_____222__4403 .......................2.......4

____________________222_______40 ....................2.......40..

_________________22________43044 .................2.......40.....

______________22____________4400 .............2.......40.........

___________22____________4400___ ..........2.......40............

________22____________4000______ .......2.......40...............

____222___________4400__________ ....2.......40..................

_22_____________440_____________ .2.......40.....................

_____________440________________ .....40.........................

_______________________________3 ..40............................

_____________________________111 0...............................

_________________________3334444 ................................

________________________________ ................................

_0__________33__________________ .0..............................

________________________________ ............................3...

_0______________________________ .........................3......

________________________________ ......................3......4..

_______________________________3 ...................3......4.....

________________________________ ................3......4........

______________________111_______ .0......................1.......

___________________11________444 ....................1...........

________________11_______444____ .................1...........4..

_____________1________444__1____ ..............1...........4.....

_________11_______444___3_______ ...........1...........4........

______11_______44_______________ ........1...........4...........

___11_______444_________________ ....1...........4...............

11_______40_____________________ .1...........4..................

______40________________________ ..........4.....................

________33____444_______________ .......4........................

_____33_____44__________________ ....4...........................

_33_____________________________ 4...............................

_________________________111____ ............................1...

_____________________111________ ........................1.......

___________________11__________4 .....................1..........

________________11__________4444 ..................1............4

____________11___________4444___ ...............1............40..

_________11__________44444______ ............1............40.....

_____1111_________4444__________ ........1............40.........

__11__1________44444____________ .....1............40............

_11__________4444_______________ ..1............40...............

1_________4444__________________ ............40..................

_______444______________________ .........40.....................

____44__________________________ .....40.........................

______________________________11 ..40.........................1..

__________________________1111__ 0.........................1.....

_______________________11_______ .......................1........

______________3_____11______4401 ....................1...........

_________________11_______440__3 ................1..............4

_____________111_______44___3___ .............1..............4...

__________11_______440__33______ ..........1..............4......

_______11_______444_____________ .......1..............4.........

___11_________44________________ ....1..............4............

11________444___________________ 1..............4................

_________4____________________11 ............4...................

___4__4_________________________ .........4.....................1

____________4______________1111_ ......4.....................1...

_______________________11111____ ...4.....................1......

______________________11______11 .....................1..........

________________1__11________111 ..................1...........40

______________111_______________ ...............1...........40...

___________111__________________ ............1...........40......

_________1_______________4000___ .........1...........40.........

____1111____________4444________ .....1...........40.............

_11_______44_______444__________ ..1...........40................

_______________444___________11_ ...........40...................

____________4___________________ ........40......................

__________4_____________________ .....40.........................

________________________________ .40.............................

________________________________ ................................

________________________________ ................................

________________________0_______ ................................

_______________________3____0___ ................................

________________________________ ................................

__________________________444___ ................................

40___________22_________________ 0...............................

____0_______________________3333 ................................

0_2_____________________________ ................................

4_440________________________0__ ................................

____________________________1111 ................................

_____________________________00_ ................................

________________________________ ................................

______________________0_________ ................................

________________________________ ................................

________________________________ ................3...40..........

________________________________ .............3...40.............

________________________________ ..........3...40................

_0______________________________ ......3...40....................

0_______________________________ ...3...40.......................

00______________________________ 3...40..........................

00______________________________ .40.............................

_0________________________1_____ ................................

________________________________ ..............................1.

____________________________11__ ...........................1....

________________________111_____ .......................1........

____________________111______444 ....................1........40.

_________________11_______440___ .................1........40....

______________11_______44_______ ..............1........40.......

___________11_______40______2___ ...........1........40..........

________11_______400____________ .......1........40..............

____111______4400_______________ ....1........40.................

11________400___________________ .1........40....................

______440_______________________ .......40.......................

___440__________________________ ....40..........................

40______3_______________3_______ 40..............................

_____________________________333 ................................

________________________________ ...0............................

0_______________________________ ................................

___________________________2222_ ..............................2.

________________________22222___ ..........................2...40

_____________________2222222__40 .......................2...40...

__________________22222____44000 ....................2...40......

_______________2222____44000____ .................2...40.........

____________22222___440000______ ..............2...40............

_________22222___400__0_________ ..........2...40................

______222____44000_0____________ .......2...40...................

__22222____4000_________________ ....2...40......................

2222___4400___________________33 .2...40.........................

2___400___________________33____ ..40............................

________________________________ ................................

________________________________ ................................

______________________________66 ................................

________________________________ ...............................0

_______________________________6 ............................0...

________________________________ .........................0......

__0_____________________________ ......................0.........

_0_4____________________________ ..................0.............

___4____________________________ ...............0................

4040____________________________ ............0...................

00______________________________ .........0......................

_____________________________111 ......0.........................

0___________________________3333 ..0.............................

00________________________333324 ................................

_0______________________________ .0..............................

______________________________1_ ................................

____________________________3333 ..............................3.

_________________________3333__4 ...........................3....

______________________333___4400 ........................3......4

____________________33___40__333 .....................3......4...

_________________33___40__33____ .................3......4.......

______________3________333_____4 ..............3......4..........

__________33________3333___44440 ...........3......4.............

______33____4____333___222444000 ........3......4................

___________________222_44400___2 .....3......4...................

________________222_4440________ .3......4.......................

____________2222_4400___________ .....4..........................

____________444400______________ ..4.............................

______________3________________2 ................................

_________11__________44444______ ............1............40.....

_____1111_________4444__________ ........1............40.........

__11__1________44444____________ .....1............40............

_11__________4444_______________ ..1............40...............

1_________4444__________________ ............40..................

_______444______________________ .........40.....................

____44__________________________ .....40.........................

______________________________11 ..40.........................1..

__________________________1111__ 0.........................1.....

_______________________11_______ .......................1........

______________3_____11______4401 ....................1...........

_________________11_______440__3 ................1..............4

_____________111_______44___3___ .............1..............4...

__________11_______440__33______ ..........1..............4......

_______11_______444_____________ .......1..............4.........

___11_________44________________ ....1..............4............

11________444___________________ 1..............4................

_________4____________________11 ............4...................

___4__4_________________________ .........4.....................1

____________4______________1111_ ......4.....................1...

_______________________11111____ ...4.....................1......

______________________11______11 .....................1..........

________________1__11________111 ..................1...........40

______________111_______________ ...............1...........40...

___________111__________________ ............1...........40......

_________1_______________4000___ .........1...........40.........

____1111____________4444________ .....1...........40.............

_11_______44_______444__________ ..1...........40................

_______________444___________11_ ...........40...................

____________4___________________ ........40......................

__________4_____________________ .....40.........................

________________________________ .40.............................

________________________________ ................................

________________________________ ................................

________________________0_______ ................................

_______________________3____0___ ................................

________________________________ ................................

__________________________444___ ................................

40___________22_________________ 0...............................

____0_______________________3333 ................................

0_2_____________________________ ................................

4_440________________________0__ ................................

____________________________1111 ................................

_____________________________00_ ................................

________________________________ ................................

______________________0_________ ................................

________________________________ ................................

__3_3____4______________________ ................................

3_______________________________ ................................

________________________________ ................................

________________________________ ................................

0_____________________________11 ..............................3.

0__________________________33__0 ...........................3....

__440___________________________ ........................3....40.

4__4____________________________ .....................3....40....

________________________________ ..................3....40.......

______________3_________________ ..............3....40...........

___________3____________________ ...........3....40..............

________3______________________1 ........3....40.................

____33__________________________ .....3....40....................

4_______________________________ ..3....40.......................

_____________________________00_ ...40...........................

40______________________________ 40.............................2

___0_________________________333 ............................2...

________________________________ .......................0........

4_____________________________11 ....................0...........

________________________________ .................0..............

4__________________________1111_ ..............0.................

_44_____________________________ ..........0.....................

________________________________ .......0........................

_____________________________222 ....0...........................

_____________________________111 .0..............................

________________________________ .............................3..

______________________________11 ..........................3.....

_____________________________111 .......................3.....4..

__________________________000___ ....................3.....4.....

________________________00______ .................3.....4........

____________________00__________ .............3.....4............

_________________00_________2222 ..........3.....4...............

_____________00__________222__44 .......3.....4..................

__________00__________22______22 ....3.....4.....................

_______0___________2___________4 .3.....4........................

________________2____________000 ...4............................

___________________________0____ 4...............................

______________________________22 ................................

________________111______4400___ .0..............1..........40...

_____________111______4400______ ............1..........40.......

__________11______4400__________ .........1..........40..........

_______1________400_____________ ......1..........40.............

____1________400________________ ...1..........40................

_11______4400___________________ 1..........40...................

_______400______________________ .......40.......................

____40__________________________ ....40.......................3..

_40_____________________________ .40.......................3....4

________________________________ .......................3....40..

4______00_______________________ ....................3....40.....

4_0400__________________________ ................3....40.........

40______________________________ .............3....40............

________________________________ ..........3....40...............

0____________________________0__ .......3....40..................

0_2_________________________3333 ....3....40.....................

2_____40_________________333_440 3....40.........................

0_440_________________33_____333 ..40............................

___4______________________3333_4 0...............................

__________________________3_____ .............................3..

_______________________33___4400 ..........................3....4

__4________________333__44000___ .......................3....40..

________________333__44000______ ....................3....40.....

_____________333__44000_________ ................3....40.........

_________3333__4400_____________ .............3....40............

______333___4400________________ ..........3....40...............

___333___44000__________________ .......3....40..................

__33__4000______________________ ....3....40.....................

___400__________________________ 3....40.........................

_000____________________________ ..40............................

0__0____________________________ 0...............................

________________________________ ................................

________________________________ ................................

_____________________________222 ................................

___________________________1111_ ..............................1.

_________________________11_____ ..........................1.....

_____________________111________ .......................1........

___________________11________444 ....................1.........4.

_______________111________444444 .................1.........4....

____________11_________444444___ ..............1.........4.......

_________11________44444________ ..........1.........4...........

______11_________4444___________ .......1.........4..............

___1__________4444______________ ....1.........4.................

________________________________ ...................0............

________________________________ ................0...............

________________________________ .............0..................

_____________________________00_ .........0......................

_________________________000____ ......0.........................

______________________000_______ ...0............................

____________________00__________ 0...............................

_40_____________________________ ................................

________________________________ .............................3..

0_______________________________ ..........................3.....

______________________________33 .......................3........

________________________________ ....................3.........40

________________________________ ................3.........40....

_______________________________1 .............3.........40.......

________________________________ ..........3.........40..........

________________________________ .......3.........40.............

________________________________ ....3.........40................

_____________________________333 3.........40....................

________________________________ .......40.......................

________________________________ ....40..........................

4_____________0_______________66 ..............................0.

____0___________________________ ...........................0....

_0____________________________06 .......................0........

____0__0________________________ ....................0...........

_0__0___________________________ .................0..............

________________________________ ..............0.................

____0___________________________ ...........0....................

_0___________________________333 .......0........................

_________________________333____ ....0...........................

______________________33________ .0..............................

__0__________________________333 ...............................1

__________________________1111__ ............................1...

_______________________111______ ........................1.......

____________________11_______444 .....................1.........4

_________________111_______444__ ..................1.........4...

______________11________444_____ ...............1.........4......

___________11________444________ ............1.........4.........

________11_______444____________ ........1.........4.............

____11________44________________ .....1.........4................

__1________4444_________________ ..1.........4...................

1_______44______________________ .........4......................

_____444____________________1111 ......4.........................

_444____________________________ ..4.............................

4_44____________________________ .............................1..

_________________________111____ ..........................1.....

______________________11________ .......................1........

___________________111_______444 ....................1..........4

________________111_______44444_ ................1..........4....

_____________111______444______4 .............1..........4.......

__________11_______444__________ ..........1..........4..........

_______11_______444_____________ .......1..........4.............

___111_______444________________ ....1..........4................

_11______44_____________________ 1..........4....................

______4444______________________ ........4.......................

_____4__________________________ .....4..........................

_____________________________33_ ..4.............................

___________________________55055 ................................

___________________________000__ ...............................0

_______________________4__00____ ............................0...

_____________________00_________ .........................0......

________________________________ .....................0..........

_________________0_____________0 ..................0.............

___________________________0000_ ...............0................

__________0______________000____ ............0...................

_________22___40_______333___444 ......2......40...2.......40....

______2___4400______33__________ ...2......40...2.......40.......

___2___40________33_____________ 2......40...2.......40..........

_____________33_________________ ....40...2.......40.............

___________3__________00________ 40...2.......40.................

_______33_______________________ ..2.......40....................

_____3__________________________ .......40.......................

__3_____________________________ ....40..........................

______________________________11 .40.............................

______________________________22 ............0...................

0__0____________________________ ........0.......................

______________________________33 .....0..........................

________________________________ ..0.............................

________________________________ ..............................3.

_____________________222___44000 ...........................3....

___________________________44___ .......................3........

_______________22___4400__333333 ....................3..........4

____________________________333_ .................3..........40..

_____________________33_______33 ..............3..........40.....

________________________________ ...........3..........40........

________________________________ .......3..........40...........1

________________________________ ....3..........40...........1...

_____3____________________11____ .3..........40...........1......

_____3_________________11_______ .........40...........1........4

__3________________111_______440 ......40...........1........40..

_______________111________440___ ..40...........1........40......

____________111_______4400______ 0...........1........40.........

_________11________400__________ .........1........40............

______11________440_____________ ......1........40...............

___11________400________________ ...1........40..................

11_______4400___________________ ........40......................

______440_______________________ .....40.........................

___400__________________________ ..40............................

00______________________________ 0...............................

________________________________ ................................

________________________________ ................................

________________________________ ................................

________________________________ ................................

________________________________ ................................

___________________________33333 ............................3...

_________________________333___4 .........................3......

______________________333__444__ ......................3........4

___________________333__444_____ ...................3........4...

________________333__444________ ................3........4......

_____________333__444___________ ............3........4..........

__________33___444______________ .........3........4.............

______333___44__________________ ......3........4................

___333___44_____________________ ...3........4...................

333___44________________________ 3........4......................

__4444__________________________ .....4..........................

________________________________ ..4.............................

________________________________ ................................

________________________________ .............................1..

__________________________111___ .........................1......

_______________________111______ ......................1.........

____________________111________4 ...................1............

_________________11________44444 ................1..............4

______________11________444_____ .............1..............4...

__________111________444________ .........1..............4.......

_______11_________444___________ ......1..............4..........

____1__________444______________ ...1..............4.............

_11_________444_________________ 1..............4................

_________44_____________________ ............4...................

______44________________________ ........4.......................

_______________11________444____ ................1.........40....

___________1111______444________ .............1.........40.......

_________11_______444___________ .........1.........40...........

______11_______444______________ ......1.........40..............

___11_______444_________________ ...1.........40.................

11_______444____________________ 1.........40....................

______444_______________________ .......40.......................

___444__________________________ ...40...........................

_4________________________0_____ 40..............................

________________________________ ................................

________________________________ ................................

____________________________3333 ................................

___________________0____________ ................................

___________________________00___ ................................

____________________0________0__ ................................

________________________________ ................................

_____________________________00_ ................................

________________________________ ................................

________________________________ .0..............................

______________________33____00__ ................................

________________________________ ................................

________________________________ ................................

____________11_______4400_______ ................................

________________________________ ..............................13

____40__00______________________ ...........................13...

_____________________________111 .......................13.......

______________________________33 ....................13.........4

_________________________3334440 .................13.........40..

______________________33_00_2___ ..............13.........40.....

____________________400_______40 ...........13.........40........

________________440_________4___ .......13.........40............

______________40_______4441_____ ....13.........40...............

___________4________444_______44 .13.........40..................

______440________44_____________ .........40.....................

___440_______444________________ ......40........................

__________444___________________ ..40............................

_______44444____________________ 0...............................

______4_________________66666666 ................................

________________________66666666 ..............................3.

________________________66666666 ...........................3....

________________________66666666 ........................3.......

________________________66666666 .....................3........4.

______________________6666666666 .................3........4.....

_________666666_____666666666666 ..............3........4......1.

________________________66666666 ...........3........4......1....

___________________________66666 ........3........4......1.......

_________________________66666__ .....3........4......1..........

____________66_________666666664 .3........4......1..............

____________________________44_0 .......4......1.................

__4_____________________________ ....4......1....................

